| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| CH3CHO          |    75-07-0 | CH3CHO      | 1.29E1       {&3245} |         5890. |                 | 3.0E-2  {&SN}   |              |                  |                 |           |         |             |    1.3E1 |          0.1 |          |                   |
| CH3CHOHO2       |            | C2H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CHOHOOH      |            | C2H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CH3CO           |            | C2H3O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CO2H         |    64-19-7 | CH3CO2H     | 4.1E3        {&3245} |         6200. |                 | 2.0E-2  {&2574} |        4079. | 1.75E-5 {&2323}  |                 |           |         |             |    7.4E5 |          0.1 |          |                   |
| CH3CO3          |            | C2H3O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CO3H         |            | C2H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    8.4E2 |          0.1 |          |                   |
| ETHGLY          |            | C2H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E6 |          0.1 |          |                   |
| GLYOX           |   107-22-2 | CHOCHO      | 4.19E5       {&3245} |         7480. |                 |                 |              |                  |                 |           |         |             |    4.2E5 |          0.1 |          |                   |
| HCOCH2O2        |            | C2H3O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCO           |            | HCOCO       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCO2H         |   298-12-4 | C2H2O3      | 1.09E4       {&3245} |         4810. |                 |                 |              | 6.61E-4 {&2323}  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| HCOCO3          |            | HCOCO3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCO3H         |            | C2H2O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.7E6 |          0.1 |          |                   |
| HOCH2CH2O       |            | C2H5O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOCH2CH2O2      |            | C2H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOCH2CHO        |   141-46-8 | HOCH2CHO    | 4.E4         {&3245} |         4630. |                 |                 |              |                  |                 |           |         |             |   4.10E4 |          0.1 |          |                   |
| HOCH2CO         |            | C2H3O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOCH2CO2H       |            | HOCH2CO2H   | 2.83E4       {&3245} |         4030. |                 |                 |              | 1.48E-4 {&2323}  |                 |           |         |             |    4.2E7 |          0.1 |          |                   |
| HOCH2CO3        |            | C2H3O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOCH2CO3H       |            | C2H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.2E5 |          0.1 |          |                   |
| HOCHCHO         |            | C2H3O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOOCH2CHO       |            | C2H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HOOCH2CO2H      |            | C2H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.2E7 |          0.1 |          |                   |
| HOOCH2CO3       |            | C2H3O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOOCH2CO3H      |            | C2H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HYETHO2H        |            | C2H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C2H5NO3         |            | C2H5O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |      1.6 |          0.1 |          |                   |
| C2H5O2NO2       |            | C2H5O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |      1.6 |          0.1 |          |                   |
| CH3CN           |            | C2H3N       |                      |               |                 |                 |              |                  |                 |           |         |             |      5.3 |          0.1 |          |                   |
| ETHOHNO3        |            | C2H5O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    3.9E4 |          0.1 |          |                   |
| NCCH2O2         |            | C2H2O2N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NO3CH2CHO       |            | C2H3O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |      1.6 |          0.1 |          |                   |
| NO3CH2CO3       |            | C2H2O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NO3CH2PAN       |            | C2H3O8N2    |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| PAN             |  2278-22-0 | C2H3O5N     | 2.8          {&3245} |         5730. |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| PHAN            |            | C2H3O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |     4.E4 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| ACETOL          |            | C3H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.7E2 |              |          |                   |
| ALCOCH2OOH      |            | C3H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C2H5CHO         |            | C3H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.3E1 |          0.1 |          |                   |
| PROPACID        |    79-09-4 | C3H6O2      | 5.7E3        {&493}  | 6800. {&1497} |                 |                 |              | 1.35E-5 {&2323}  |                 |           |         |             |     3.E5 |          0.1 |          |                   |
| C2H5CO3         |            | C3H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PERPROACID      |            | C3H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.5E3 |          0.1 |          |                   |
| C33CO           |            | C3H2O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.0E3 |          0.1 |          |                   |
| C3H6            |            | C3H6        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C3H8            |            | C3H8        |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3CHCO         |            | C3H4O       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CH3COCH2O2      |            | C3H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3COCH3        |    67-64-1 | CH3COCH3    | 27.8         {&3245} |         5530. |                 | 3.72E-3 {&2574} |        6395. |                  |                 |           |         |             |     3.E1 |          0.1 |          |                   |
| CH3COCO2H       |   127-17-3 | C3H4O3      | 3.11E5       {&3245} |         5090. |                 |                 |              | 4.07E-3 {&2323}  |                 |           |         |             |    4.3E8 |          0.1 |          |                   |
| CH3COCO3        |            | C3H3O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CH3COCO3H       |            | C3H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CHOCOCH2O2      |            | C3H3O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCH2CHO       |            | C3H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HCOCH2CO2H      |            | C3H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| HCOCH2CO3       |            | C3H3O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HCOCH2CO3H      |            | C3H4O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HCOCOCH2OOH     |            | C3H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HOC2H4CO2H      |            | C3H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.2E7 |          0.1 |          |                   |
| HOC2H4CO3       |            | C3H5O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOC2H4CO3H      |            | C3H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HOCH2COCH2O2    |            | C3H5O4      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HOCH2COCH2OOH   |            | C3H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| HOCH2COCHO      |            | C3H4O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.1E5 |          0.1 |          |                   |
| HYPERACET       |            | C3H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.7E2 |          0.1 |          |                   |
| HYPROPO2        |            | C3H7O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| HYPROPO2H       |            | C3H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    9.2E5 |          0.1 |          |                   |
