| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C615CO2OOH      |            | C6H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| C6CO4DB         |            | C6H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| C6H5O           |            | C6H5O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| C6H5O2          |            | C6H5O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C6H5OOH         |            | C6H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| CATEC1O         |            | C6H5O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| CATEC1O2        |            | C6H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CATEC1OOH       |            | C6H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| CATECHOL        |            | C6H4O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| CPDKETENE       |            | C6H4O1      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PBZQCO          |            | C6H4O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| PBZQO2          |            | C6H5O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PBZQONE         |            | C6H4O2      |                      |               |                 |                 |              |                  |                 |           |         |             |      20. |          0.1 |          |                   |
| PBZQOOH         |            | C6H6O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| PHENO2          |            | C6H7O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PHENOL          |            | C6H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| PHENOOH         |            | C6H8O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C614NO3         |            | C6H9O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| BZBIPERNO3      |            | C6H7O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| BZEMUCNO3       |            | C6H7O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
| BZEMUCPAN       |            | C6H5O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| C5CO2DBPAN      |            | C6H5O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
| C5CO2OHPAN      |            | C6H5O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
| DNPHEN          |            | C6H4O5N2    |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| DNPHENO2        |            | C6H5O10N2   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| DNPHENOOH       |            | C6H6O10N2   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| HOC6H4NO2       |            | C6H5O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| NBZQO2          |            | C6H4O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NBZQOOH         |            | C6H5O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E4 |          0.1 |          |                   |
| NCATECHOL       |            | C6H5O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| NCATECO2        |            | C6H6O9N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NCATECOOH       |            | C6H7O9N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| NCPDKETENE      |            | C6H3O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NDNPHENO2       |            | C6H4O12N3   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NDNPHENOOH      |            | C6H5O12N3   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| NNCATECO2       |            | C6H5O11N2   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NNCATECOOH      |            | C6H6O11N2   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| NPHEN1O         |            | C6H4O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| NPHEN1O2        |            | C6H4O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NPHEN1OOH       |            | C6H5O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| NPHENO2         |            | C6H6O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NPHENOOH        |            | C6H7O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C235C6CO3H      |            | C7H8O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C716O2          |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C716OOH         |            | C7H10O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C721O2          |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C721OOH         |            | C7H12O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C722O2          |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C722OOH         |            | C7H12O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CO235C6CHO      |            | C7H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| CO235C6CO3      |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MCPDKETENE      |            | C7H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ROO6R3O         |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ROO6R3O2        |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| ROO6R5O2        |            | C7H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| BENZAL          |            | C7H6O       |                      |               |                 |                 |              |                  |                 |           |         |             |      36. |          0.1 |          |                   |
| C6CO2OHCO3      |            | C7H7O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C6COOHCO3H      |            | C7H8O6      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| C6H5CH2O2       |            | C7H7O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C6H5CH2OOH      |            | C7H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| C6H5CO3         |            | C7H5O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C6H5CO3H        |            | C7H6O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E4 |          0.1 |          |                   |
| C7CO4DB         |            | C7H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.7E3 |          0.1 |          |                   |
| CRESO2          |            | C7H9O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| CRESOL          |            | C7H8O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| CRESOOH         |            | C7H10O6     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MCATEC1O        |            | C7H7O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MCATEC1O2       |            | C7H7O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MCATEC1OOH      |            | C7H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| MCATECHOL       |            | C7H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| OXYL1O2         |            | C7H7O2      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| OXYL1OOH        |            | C7H8O2      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| PHCOOH          |    65-85-0 | C7H6O2      | 1.4E4        {&2908} |         6500. |                 |                 |              | 6.25E-5  {&2323} |                 |           |         |             |    1.5E7 |          0.1 |          |                   |
| PTLQCO          |            | C7H6O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E4 |          0.1 |          |                   |
| PTLQO2          |            | C7H7O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| PTLQONE         |            | C7H6O2      |                      |               |                 |                 |              |                  |                 |           |         |             |      41. |          0.1 |          |                   |
| PTLQOOH         |            | C7H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| TLBIPERO2       |            | C7H9O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TLBIPEROOH      |            | C7H10O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| TLEMUCCO        |            | C7H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    3.1E5 |          0.1 |          |                   |
| TLEMUCCO2H      |            | C7H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    7.4E5 |          0.1 |          |                   |
| TLEMUCCO3       |            | C7H7O5      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TLEMUCCO3H      |            | C7H8O5      |                      |               |                 |                 |              |                  |                 |           |         |             |    2.2E3 |          0.1 |          |                   |
| TLEMUCO2        |            | C7H9O6      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| TLEMUCOOH       |            | C7H10O6     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| TLEPOXMUC       |            | C7H8O3      |                      |               |                 |                 |              |                  |                 |           |         |             |      41. |          0.1 |          |                   |
| TLOBIPEROH      |            | C7H8O4      |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
| TOL1O           |            | C7H7O       |                      |               |                 |                 |              |                  |                 |           |         |             |    2.9E3 |          0.1 |          |                   |
| TOLUENE         |            | C7H8        |                      |               |                 |                 |              |                  |                 |           |         |             |   1.5E-1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C7PAN3          |            | C7H7O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C6CO2OHPAN      |            | C7H7O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
| C6H5CH2NO3      |            | C7H7O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |      36. |          0.1 |          |                   |
| DNCRES          |            | C7H6O5N2    |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| DNCRESO2        |            | C7H7O10N2   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| DNCRESOOH       |            | C7H8O10N2   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| MNCATECH        |            | C7H7O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| MNCATECO2       |            | C7H8O9N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MNCATECOOH      |            | C7H9O9N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.0E6 |          0.1 |          |                   |
| MNCPDKETENE     |            | C7H5O2N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| MNNCATCOOH      |            | C7H8O11N2   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| MNNCATECO2      |            | C7H7O11N2   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NCRES1O         |            | C7H6O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| NCRES1O2        |            | C7H6O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NCRES1OOH       |            | C7H7O4N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| NCRESO2         |            | C7H8O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NCRESOOH        |            | C7H9O8N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.6E3 |          0.1 |          |                   |
| NDNCRESO2       |            | C7H6O10N3   |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NDNCRESOOH      |            | C7H7O12N3   |                      |               |                 |                 |              |                  |                 |           |         |             |    2.3E3 |          0.1 |          |                   |
| NPTLQO2         |            | C7H6O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NPTLQOOH        |            | C7H7O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    2.4E4 |          0.1 |          |                   |
| PBZN            |            | C7H5O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| TLBIPERNO3      |            | C7H9O6N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
| TLEMUCNO3       |            | C7H9O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |    4.0E4 |          0.1 |          |                   |
| TLEMUCPAN       |            | C7H7O7N     |                      |               |                 |                 |              |                  |                 |           |         |             |      2.8 |          0.1 |          |                   |
| TOL1OHNO2       |            | C7H7O3N     |                      |               |                 |                 |              |                  |                 |           |         |             |    7.0E1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C721CHO         |            | C8H12O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C721CO3         |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C721CO3H        |            | C8H12O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C810O2          |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C810OOH         |            | C8H14O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C811O2          |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C812O2          |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C812OOH         |            | C8H14O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C813O2          |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C813OOH         |            | C8H14O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C85O2           |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C85OOH          |            | C8H14O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C86O2           |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C86OOH          |            | C8H14O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C89O2           |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C89OOH          |            | C8H14O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C8BC            |            | C8H14       |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C8BCCO          |            | C8H12O      |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C8BCO2          |            | C8H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C8BCOOH         |            | C8H12O2     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| NORPINIC        |            | C8H12O4     |                      |               |                 |                 |              | 6.166E-05 {&SN}  | 2.291E-06 {&SN} |           |         |             |     4E13 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| EBENZ           |            | C8H10       |                      |               |                 |                 |              |                  |                 |           |         |             |   1.2E-1 |          0.1 |          |                   |
| STYRENE         |            | C8H8        |                      |               |                 |                 |              |                  |                 |           |         |             |   3.7E-1 |          0.1 |          |                   |
| STYRENO2        |            | C8H9O3      |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| STYRENOOH       |            | C8H10O3     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C721PAN         |            | C8H11O7N    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C810NO3         |            | C8H14O5N    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C89NO3          |            | C8H13O4N    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C8BCNO3         |            | C8H11O3N    |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| NSTYRENO2       |            | C8H8O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| NSTYRENOOH      |            | C8H9O5N     |                      |               |                 |                 |              |                  |                 |           |         |             |      70. |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| LXYL            |            | C8H10       |                      |               |                 |                 |              |                  |                 |           |         |             |   1.7E-1 |          0.1 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| C811CO3         |            | C9H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C811CO3H        |            | C9H14O5     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C85CO3          |            | C9H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C85CO3H         |            | C9H12O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C89CO2H         |            | C9H14O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    6.6E7 |          0.1 |          |                   |
| C89CO3          |            | C9H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C89CO3H         |            | C9H14O4     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C96O2           |            | C9H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| C96OOH          |            | C9H16O3     |                      |               |                 |                 |              |                  |                 |           |         |             |    1.0E6 |          0.1 |          |                   |
| C97O2           |            | C9H10O2     |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
