# -*- org -*-
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| basename        | subname | refspec | medium  | R_vini     | I_force_init | I_advect | I_convect | I_vdiff | I_wetdep | I_drydep | I_sedi | I_scav | I_mix | I_force_col | I_integrate | I_timefilter | I_method | S_model  | I_mode     | I_sol |
| NNCATECO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZEMUCCO2H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NNCATECOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NPHEN1O         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| DNPHEN          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PHENOL          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PBZQONE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PHENO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZBIPERO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C615CO2OOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C5CO2DBCO3      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NPHEN1O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NPHENOOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6H5O           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NCATECOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PBZQOOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PBZQO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZOBIPEROH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| DNPHENO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZBIPEROOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BZEMUCO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C5CO2DBPAN      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NBZQOOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CATEC1OOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6125CO         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NBZQO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| DNPHENOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CATEC1O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZEMUCCO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6H5OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BZEMUCOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BZEMUCCO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C6H5O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| BZEMUCOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BZEMUCNO3       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CPDKETENE       |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NCPDKETENE      |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| CO235C6CO3      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CO235C6CHO      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C235C6CO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C716O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C716OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ROO6R4P         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ROO6R5P         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ROO6R3O         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C721O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C722O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ROO6R3O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| ROO6R5O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C721OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C722OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ROO6R3OOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C7PAN3          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| ROO6R3NO3       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PTLQOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| OXYL1O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TOLUENE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NDNCRESO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TLEMUCNO3       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CRESO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| PTLQO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| MCATEC1O2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C6H5CH2OOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TOL1OHNO2       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| CRESOL          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLBIPER2OH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MNCATECH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NCRES1O         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TOL1O           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MNNCATECO2      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NCRES1OOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PTLQCO          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6H5CH2O2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TLBIPERO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TLBIPERNO3      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NCRESOOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLBIPEROOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MNCATECOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NPTLQOOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6H5CO3H        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NCRESO2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TLEMUCCO2H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PBZN            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEPOXMUC       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MCATEC1O        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MNNCATCOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PHCOOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PTLQONE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BENZAL          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MCATECHOL       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PTLQOOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MNCATECO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C6CO2OHPAN      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| DNCRESOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CRESOOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6CO2OHCO3      |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| MCATEC1OOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCPAN       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6COOHCO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C6H5CH2NO3      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCCO        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| OXYL1OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NDNCRESOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCCO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| TLEMUCOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLOBIPEROH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NCRES1O2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NPTLQO2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| DNCRESO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| C6H5CO3         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| DNCRES          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TLEMUCCO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C7CO4DB         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| MCPDKETENE      |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| MNCPDKETENE     |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| C8BCO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C721CO3         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C85O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C89O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C811O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C86O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C812O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C813O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C810O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C8BCCO          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C8BCOOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C721CHO         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NORPINIC        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C721CO3H        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C8BC            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C85OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C86OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C812OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C813OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C89OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C810OOH         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C8BCNO3         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C721PAN         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C89NO3          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C810NO3         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LXYL            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| EBENZ           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| STYRENE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NSTYRENO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| NSTYRENOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| STYRENOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| STYRENO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| C85CO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C89CO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C811CO3         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NOPINDO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C96O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C97O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C98O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NOPINDCO        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C85CO3H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NOPINONE        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NOPINOO         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NORPINAL        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NORPINENOL      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C89CO2H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NOPINDOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C89CO3H         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PINIC           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C811CO3H        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C96OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C97OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C98OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C89PAN          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C9PAN2          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C811PAN         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C96NO3          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LTMB            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| APINENE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BPINENE         |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| PINALO2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C109O2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| C96CO3          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
