# -*- org -*-
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| basename        | subname | refspec | medium  | R_vini     | I_force_init | I_advect | I_convect | I_vdiff | I_wetdep | I_drydep | I_sedi | I_scav | I_mix | I_force_col | I_integrate | I_timefilter | I_method | S_model  | I_mode     | I_sol |
| C3DIALOOH       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C3DIALO2        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| HCOCOHCO3       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
| METACETHO       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C5DIALCO        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCOHPAN       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| C32OH13CO       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HCOCOHCO3H      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| BIACET          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| BIACETOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CO2H3CHO        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CO2H3CO3        |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CO2H3CO3H       |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | ON     |       |             |             |              |          |          |            |       |
| HO12CO3C4       |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LC4H9NO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| LC4H9O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| LC4H9OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| IC4H9NO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| IC4H9O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| IC4H9OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| TC4H9NO3        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | OFF    |       |             |             |              |          |          |            |       |
| TC4H9O2         |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| TC4H9OOH        |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LHMVKABO2       |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        |        |       |             |             |              |          |          |            |       |
| LHMVKABOOH      |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LMEKO2          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
